Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment02,Chrome 67.0.3396.87,,2018-06-24 12:01:54,2018-06-24 12:03:38,1m - 43.928s,PASSED
,,,,,,
Test Cases/Health checks/TC-44703,Chrome 67.0.3396.87,,2018-06-24 12:01:55,2018-06-24 12:03:38,1m - 42.034s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 12:01:58,2018-06-24 12:02:30,31.926s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 12:02:30,2018-06-24 12:02:42,11.672s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 12:02:42,2018-06-24 12:02:48,5.748s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 12:02:48,2018-06-24 12:02:50,2.156s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:02:50,2018-06-24 12:02:50,0.452s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 12:02:50,2018-06-24 12:02:52,2.040s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 12:02:52,2018-06-24 12:02:52,0.173s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 12:02:52,2018-06-24 12:03:02,9.431s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-24 12:03:02,2018-06-24 12:03:04,1.996s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:04,2018-06-24 12:03:10,6.414s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:10,2018-06-24 12:03:12,1.548s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:12,2018-06-24 12:03:13,1.353s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:13,2018-06-24 12:03:14,1.303s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:14,2018-06-24 12:03:16,1.250s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:16,2018-06-24 12:03:17,1.443s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:17,2018-06-24 12:03:18,1.334s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:18,2018-06-24 12:03:20,1.442s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:20,2018-06-24 12:03:21,1.463s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:21,2018-06-24 12:03:23,1.871s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:03:23,2018-06-24 12:03:30,6.362s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:03:30,2018-06-24 12:03:30,0.137s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-24 12:03:30,2018-06-24 12:03:32,2.720s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:03:32,2018-06-24 12:03:33,0.187s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 12:03:33,2018-06-24 12:03:37,3.958s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-24 12:03:37,2018-06-24 12:03:37,0.126s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-24 12:03:37,2018-06-24 12:03:38,0.797s,PASSED
